id_norma,tipo,numero,ano,data,ementa,assunto,arquivo,sha256,situacao,observacoes
lei_3079_1994,lei,3079,1994,1994-04-20,Dá nova redação à ementa da Lei da Municipal nº 2.941/93 e altera o seu art. 1º.,patrimônio — alteração de lei de tombamento,data/raw/legislacao/bage/LEI MUNICIPAL Nº 3079_94_altera ementa da 2941_93_.pdf,f21f17e9a414969f284f73eb95b4584b386b5099eafbc0059cc55956ea7879d6,,"texto compilado de 2009 (PDF de 02/10/2009 gerado de .doc), não a publicação oficial; cabeçalho lido na camada de texto do PDF"
lei_3234_1995,lei,3234,1995,1995-06-27,Declara patrimônio histórico e cultural do Município prédio localizado no Loteamento Jardim do Castelo.,patrimônio — declaração/tombamento de bem,data/raw/legislacao/bage/LEI MUNICIPAL Nº 3234_95.pdf,9c6b1574be2c4d79f82eb1248ca7c806734d9a01260a45d61562a532e026c6f8,,"Cita o Loteamento Jardim do Castelo como existente em 1995 (não o cria). texto compilado de 2009 (PDF de 02/10/2009 gerado de .doc), não a publicação oficial; cabeçalho lido na camada de texto do PDF"
lei_3260_1995,lei,3260,1995,1995-11-09,"Declara patrimônio histórico e cultural do Município, o Estádio Antônio Magalhães Rossel, de propriedade do Guarany Futebol Clube.",patrimônio — declaração/tombamento de bem,data/raw/legislacao/bage/LEI MUNICIPAL Nº 3260_95.pdf,dfe10c5e03363523123fccfdfd5009e26cfa7b7a15881fbb4278a6166e5effab,,"texto compilado de 2009 (PDF de 02/10/2009 gerado de .doc), não a publicação oficial; cabeçalho lido na camada de texto do PDF"
lei_3261_1995,lei,3261,1995,1995-11-09,"Declara patrimônio histórico e cultural do Município, o Estádio ""Pedra Moura"", de propriedade do Grêmio Esportivo Bagé.",patrimônio — declaração/tombamento de bem,data/raw/legislacao/bage/LEI MUNICIPAL Nº 3261_95.pdf,ff8c78e002db22fb8e7da5ff30feef3599811199ed55307e4d4d10428cb7c316,,"texto compilado de 2009 (PDF de 02/10/2009 gerado de .doc), não a publicação oficial; cabeçalho lido na camada de texto do PDF"
lei_3273_1995,lei,3273,1995,1995-12-13,"Declara Patrimônio Histórico e Cultural do Município, o prédio localizada já Rua Dr. Veríssimo nº 258 - E, de propriedade do Clube Recreativo e Cultural do Zíngaros.",patrimônio — declaração/tombamento de bem,data/raw/legislacao/bage/LEI MUNICIPAL Nº 3273_95.pdf,e281582ce5af721823de9a3f3b69ab96bffafc9f6f6515cae4d07d3a6994cc07,,"Ementa transcrita com os erros do original ('localizada já', 'do Zíngaros'). texto compilado de 2009 (PDF de 02/10/2009 gerado de .doc), não a publicação oficial; cabeçalho lido na camada de texto do PDF"
lei_3289_1995,lei,3289,1995,1995-12-28,"Declara Patrimônio Natural, histórico e paisagístico de Bagé os arroios Tábua, Perez e Bagé.",patrimônio natural — arroios urbanos,data/raw/legislacao/bage/LEI MUNICIPAL Nº 3289_95.pdf,f1af0e6e57ab8c9aaa57148fa97c4316838497f8511b23e84dd0077857399740,,"texto compilado de 2009 (PDF de 02/10/2009 gerado de .doc), não a publicação oficial; cabeçalho lido na camada de texto do PDF"
lei_3556_1999,lei,3556,1999,1999-11-23,Declara patrimônio Histórico e Cultural do Município a Capela situada na Vila Industrial e dá outras providências.,patrimônio — declaração/tombamento de bem,data/raw/legislacao/bage/LEI MUNICIPAL Nº 3456_99.pdf,5e4400777e6cd2e4087a8c5f2dc69cde6bc9c9fd55f920da6a1574adaa146171,,"DIVERGÊNCIA: o nome do arquivo diz 3456; o cabeçalho diz 'LEI MUNICIPAL Nº 3.556, DE 23/11/1999'. Registrado pelo cabeçalho (compatível com a sequência: 3.534 é de 09/1999). Conferir na fonte oficial. texto compilado de 2009 (PDF de 02/10/2009 gerado de .doc), não a publicação oficial; cabeçalho lido na camada de texto do PDF"
lei_3472_1998,lei,3472,1998,1998-10-26,"Declara Patrimônio Histórico e Cultural do Município as TORRES DA CAIEIRA BAGEENSE, localizadas na Rua Pe. Abílio Sponchiado, nº 581, quarteirão nº 258.",patrimônio — declaração/tombamento de bem,data/raw/legislacao/bage/LEI MUNICIPAL Nº 3472_98.pdf,de874e7ff9aa301d347d4eada6c37209fc648844f34c1642e7090612d37ca560,,"texto compilado de 2009 (PDF de 02/10/2009 gerado de .doc), não a publicação oficial; cabeçalho lido na camada de texto do PDF"
lei_3534_1999,lei,3534,1999,1999-09-09,"Declara Patrimônio Histórico e Cultural do Município a Igreja Santa Tereza, localizada Bairro de mesma denominação.",patrimônio — declaração/tombamento de bem,data/raw/legislacao/bage/LEI MUNICIPAL Nº 3534_99.pdf,aa9bf933df3425bcdacf37c575b4d4e6633d271e17756d81f902460f1c634e9b,,"texto compilado de 2009 (PDF de 02/10/2009 gerado de .doc), não a publicação oficial; cabeçalho lido na camada de texto do PDF"
lei_3608_2000,lei,3608,2000,2000-06-27,"Declara Patrimônio Histórico e Cultural do Município a Ponte dos Trilhos denominada ""PONTE SECA"" localizada na Av. Presidente Vargas.",patrimônio — declaração/tombamento de bem,data/raw/legislacao/bage/LEI MUNICIPAL Nº 3608_00.pdf,0e868e184a8cba5a89ab7774e33d5d45ea68e6114dea86ee3bdf8e002191a6db,,"texto compilado de 2009 (PDF de 02/10/2009 gerado de .doc), não a publicação oficial; cabeçalho lido na camada de texto do PDF"
lei_3611_2000,lei,3611,2000,2000-07-11,Declara Patrimônio Histórico e Cultural do Município o prédio da SECRETARIA MUNICIPAL DE CULTURA (antigo Palacete Pedro Osório).,patrimônio — declaração/tombamento de bem,data/raw/legislacao/bage/LEI MUNICIPAL Nº 3611_00.pdf,e764dceb7a253e80b702cd10a6899b866640a44cb32bd1f902f54c56b9958643,,"texto compilado de 2009 (PDF de 02/10/2009 gerado de .doc), não a publicação oficial; cabeçalho lido na camada de texto do PDF"
lei_3685_2001,lei,3685,2001,2001-04-24,"Declara patrimônio histórico, cultural e ambiental do Município os ""Cerros de Bagé"", promove seu tombamento, e dá outras providências.",patrimônio natural e cultural — Cerros de Bagé,data/raw/legislacao/bage/LEI MUNICIPAL Nº 3685_01.pdf,3f6f46d663f6c0b223d35b2f67ead327c195e88bdd71bf59c38ee87123f727b3,,"texto compilado de 2009 (PDF de 02/10/2009 gerado de .doc), não a publicação oficial; cabeçalho lido na camada de texto do PDF"
lei_3686_2001,lei,3686,2001,2001-04-24,"Declara Patrimônio Histórico e Cultural do Município o prédio da Sociedade Portuguesa de Beneficência, localizado na Av. Emílio Guilain.",patrimônio — declaração/tombamento de bem,data/raw/legislacao/bage/LEI MUNICIPAL Nº 3686_01.pdf,8cd224e474a9235e886fdd6fdcbb505d32bea43d5647c1dae44400f067c0df7b,,"texto compilado de 2009 (PDF de 02/10/2009 gerado de .doc), não a publicação oficial; cabeçalho lido na camada de texto do PDF"
lei_3687_2001,lei,3687,2001,2001-04-24,"Tomba como patrimônio histórico e cultural do Município, no Bairro Santa Tereza, o coreto, o lago que o circunda, mais a área em torno do referido lago, num raio de 12 metros, localizados próximo à Igreja de Santa Tereza, bem como as ruínas do Sobrado que foi residência do Visconde Ribeiro de Magalhães e dá outras providências.",patrimônio — declaração/tombamento de bem,data/raw/legislacao/bage/LEI MUNICIPAL Nº 3687_01.pdf,f59b9f454609ba14df79df03449ae793c9391770f6806ee85b3ee6dc8b167d3a,,"texto compilado de 2009 (PDF de 02/10/2009 gerado de .doc), não a publicação oficial; cabeçalho lido na camada de texto do PDF"
lei_3693_2001,lei,3693,2001,2001-05-16,"Declara Patrimônio Histórico e Cultural do Município, o Prédio do Coreto da Praça Silveira Martins.",patrimônio — declaração/tombamento de bem,data/raw/legislacao/bage/LEI MUNICIPAL Nº 3693_01.pdf,1390c94a17f6760f7b2b075f88c7311e04e914de602dc0cb256a3977d75efd35,,"texto compilado de 2009 (PDF de 02/10/2009 gerado de .doc), não a publicação oficial; cabeçalho lido na camada de texto do PDF"
lei_4378_2006,lei,4378,2006,2006-05-23,Tomba como Patrimônio Histórico e Cultural de Bagé o prédio da Santa Casa de Caridade.,patrimônio — declaração/tombamento de bem,data/raw/legislacao/bage/LEI MUNICIPAL Nº 4378_06.pdf,e4d2e8d7864f9cf241937894344be62fe0756bb418b1cde109f7bc67b2634918,,"texto compilado de 2009 (PDF de 02/10/2009 gerado de .doc), não a publicação oficial; cabeçalho lido na camada de texto do PDF"
lei_4387_2006,lei,4387,2006,2006-06-06,"Tomba como Patrimônio Histórico e Cultural de Bagé, os prédios da antiga estação Ferroviária de Bagé, atual Centro Administrativo e o da Prefeitura Municipal localizado na Av. Gen. Osório.",patrimônio — declaração/tombamento de bem,data/raw/legislacao/bage/LEI MUNICIPAL Nº 4387_06.pdf,10e14d9a9c3e867fd02c20249773250e9b9bd0c8e41c99a0e45ce01495c03c39,,"texto compilado de 2009 (PDF de 02/10/2009 gerado de .doc), não a publicação oficial; cabeçalho lido na camada de texto do PDF"
lc_025_2007,lei complementar,025,2007,,,plano diretor (PDDUA); macrozoneamento rural e urbano; zoneamento; perímetro urbano; sistema viário; instrumentos; AEIS,data/raw/legislacao/bage/Plano Diretor.pdf,3396c2e5f0723c83081f777ef47152776e3146dcc397f78e95bb2ee22c706365,alterada,"Capa: 'Plano Diretor de Desenvolvimento Urbano e Ambiental Bagé-RS Lei Complementar N°025/2007'. O PDF (edição gráfica, CorelDRAW, jan/2009) NÃO traz ementa nem data de sanção: ambas em branco. Situação 'alterada' pelas LC 054/2015, 055/2015 e 064/2017 (textos neste acervo). Art. 192 revoga as Leis 1.762/73, 1.942/77, 2.049/80, 2.079/80, 2.099/80, 2.136/81, 2.171/81, 2.379/86, 2.645-A/89 e 2.723/91; art. 193: vigência 150 dias após a publicação. Anexos 01–11 (arts. 181) no mesmo PDF, pp. 48–92, mapas datados de agosto/2007; anexo cartográfico é base de dados, regime próprio. Texto com camada de texto."
lc_054_2015,lei complementar,054,2015,2015-01-23,Altera o Uso de Rural para Urbano e Estabelece Macrozona e Zona para Frações de Campo.,perímetro urbano — inclusão de gleba rural; macrozoneamento,data/raw/legislacao/bage/lei_altera_paragrafo_2015.pdf,bfd0607c6159031473aaad9152071a262e16d6013bb57a4fe78c620e50d059c5,,"O nome do arquivo ('altera parágrafo') não corresponde ao conteúdo. Transforma em zona urbana parte do imóvel da matrícula 9.614 (19.023,87 m², confrontando a oeste com a Rua Darcy Rodrigues Bello) e a integra à Macrozona de Reestruturação, Zona de Reestruturação 2 (art. 61 da LC 025/2007). Promulgada pela Câmara. PDF digitalizado sem OCR: lido na imagem."
lc_055_2015,lei complementar,055,2015,2015-01-23,Altera o Uso de Rural para Urbano e Estabelece Macrozona e Zona para Frações de Campo.,perímetro urbano — inclusão de glebas rurais; macrozoneamento,data/raw/legislacao/bage/li_altera_macrozona_2015.pdf,ce206fc43e9c8d3d60e9b392f3550355aa5031d5bf5edb582ebfdb9275f1d86a,,"Transforma em zona urbana duas frações de campo (matrículas 56.644 e 56.643; 10 ha 2.969,93 m² e 15 ha 9.846,01 m²), confrontantes com o Loteamento Jardim do Castelo e o Loteamento São Pedro, e as integra à Macrozona de Reestruturação, Zona de Reestruturação 2. Promulgada pela Câmara. PDF digitalizado sem OCR: lido na imagem."
lc_064_2017,lei complementar,064,2017,2017-08-29,Cria o § 3º no art. 117 da Lei Complementar nº 025/2007 que institui o Plano Diretor de Desenvolvimento Urbano e Ambiental do Município de Bagé.,plano diretor — regime urbanístico (altura máxima),data/raw/legislacao/bage/plano_diretor_2017.pdf,561223d0238578a379e24c725c38d2daf5e56588fea38eb0a712daf5ce38f218,,"O nome do arquivo sugere um plano diretor de 2017; é só a LC 064/2017, que acrescenta o §3º ao art. 117 da LC 025/2007 (número fracionário de pavimentos arredonda para cima). PDF digitalizado sem OCR: lido na imagem."
lc_069_2018,lei complementar,069,2018,2018-01-08,"Cria o Sistema Municipal de Mobilidade Urbana, institui PlanMob, Plano Diretor de Transporte e Mobilidade Urbana do Município de Bagé e determina outras providências.",mobilidade urbana (PlanMob); sistema viário,data/raw/legislacao/bage/planmob.pdf,69f3ded43ede9f69c7580ba97aff0c1791113b41a1017b4881b558c6c60d716d,,"28 folhas (processo 4413/17), 82 artigos; texto SEM os anexos normativos (art. 2º: Anexo I infraestrutura; I-A mapa da classificação hierárquica das vias; II atributos; III modelo espacial; III-A a III-D redes; IV plano de obras). 'Lc69 - Anexos.pdf' NÃO contém esses anexos: é o Relatório 1 (Pesquisas e Levantamentos) da consultoria, do mesmo processo, registrado só por .json (pode_publicar=false). PDF digitalizado sem OCR: lido na imagem."
